Time,tmpc_max,dwpc_max,mslp_max,wdir_max,wspd_max,skct_max,pr1h_max,tmpc_min,dwpc_min,mslp_min,wdir_min,wspd_min,skct_min,pr1h_min,tmpc_mean,dwpc_mean,mslp_mean,wdir_mean,wspd_mean,skct_mean,pr1h_mean,tmpc_total,dwpc_total,mslp_total,wdir_total,wspd_total,skct_total,pr1h_total
2010-02-23,1.1,0.6,1011.0,350.0,7.7,8.0,0.5,0.6,-2.2,1005.1,60.0,2.6,8.0,0.0,0.757894736842105,-0.8315789473684209,1007.5684210526317,297.89473684210526,5.5736842105263165,8.0,0.07894736842105263,14.399999999999995,-15.799999999999997,19143.800000000003,5660.0,105.90000000000002,152.0,1.5
2010-02-24,0.0,-3.3,1015.0,300.0,6.7,8.0,0.0,-3.9,-6.1,1011.7,260.0,2.6,0.0,0.0,-2.3473684210526313,-5.173684210526316,1013.5263157894739,279.4736842105263,5.205263157894737,6.7894736842105265,0.0,-44.599999999999994,-98.30000000000001,19257.000000000004,5310.0,98.89999999999999,129.0,0.0
2010-02-25,-6.0,-8.9,1017.7,300.0,8.8,8.0,0.0,-9.4,-12.2,1015.0,270.0,6.2,8.0,0.0,-7.205263157894736,-10.463157894736844,1016.3944444444447,285.7894736842105,7.657894736842105,8.0,0.0,-136.89999999999998,-198.80000000000004,18295.100000000006,5430.0,145.5,152.0,0.0
2010-02-26,0.0,-6.1,1021.8,350.0,7.7,8.0,0.0,-7.8,-11.7,1018.6,290.0,3.1,0.0,0.0,-3.9315789473684197,-8.415789473684208,1020.3473684210526,313.1578947368421,5.578947368421053,5.2631578947368425,0.0,-74.69999999999997,-159.89999999999998,19386.6,5950.0,106.00000000000001,100.0,0.0
2010-02-27,1.1,-6.1,1021.0,310.0,9.3,0.0,0.0,-8.3,-11.1,1015.3,280.0,3.6,0.0,0.0,-4.173684210526315,-8.921052631578945,1018.7526315789473,297.36842105263156,5.95263157894737,0.0,0.0,-79.3,-169.49999999999997,19356.3,5650.0,113.10000000000004,0.0,0.0
2010-02-28,0.6,-3.9,1014.2,320.0,7.2,8.0,0.0,-6.0,-10.0,1012.5,290.0,4.1,0.0,0.0,-2.7789473684210524,-6.789473684210527,1013.3294117647058,305.2631578947368,5.542105263157896,6.842105263157895,0.0,-52.8,-129.00000000000003,17226.6,5800.0,105.30000000000003,130.0,0.0
2010-03-01,4.4,-1.7,1018.2,330.0,6.2,8.0,0.0,-2.2,-5.6,1014.3,280.0,1.5,0.0,0.0,0.631578947368421,-3.7842105263157904,1016.3473684210527,297.89473684210526,3.978947368421052,6.421052631578948,0.0,12.0,-71.90000000000002,19310.600000000002,5660.0,75.6,122.0,0.0
2010-03-02,3.3,-1.0,1023.4,360.0,6.2,8.0,0.0,0.0,-1.7,1020.0,0.0,0.0,8.0,0.0,1.3789473684210527,-1.5999999999999996,1021.6555555555556,230.0,3.926315789473684,8.0,0.0,26.200000000000003,-30.39999999999999,18389.8,4370.0,74.6,152.0,0.0
2010-03-03,0.6,-3.3,1020.5,360.0,6.2,8.0,0.0,-1.1,-4.4,1016.2,10.0,2.1,7.0,0.0,-0.12631578947368424,-3.7052631578947355,1018.4105263157896,194.73684210526315,4.410526315789474,7.947368421052632,0.0,-2.400000000000001,-70.39999999999998,19349.800000000003,3700.0,83.8,151.0,0.0
2010-03-04,3.9,-2.2,1018.8,360.0,6.2,8.0,0.0,-1.7,-6.1,1016.5,10.0,3.1,4.0,0.0,0.3368421052631579,-4.489473684210526,1017.3105263157894,312.10526315789474,4.352631578947368,7.684210526315789,0.0,6.4,-85.3,19328.899999999998,5930.0,82.69999999999999,146.0,0.0
2010-03-05,6.7,-5.0,1022.9,350.0,6.7,0.0,0.0,-6.1,-8.3,1019.6,300.0,2.6,0.0,0.0,-0.047368421052632115,-7.078947368421052,1021.4210526315787,323.1578947368421,3.742105263157895,0.0,0.0,-0.9000000000000101,-134.5,19406.999999999996,6140.0,71.10000000000001,0.0,0.0
2010-03-06,7.2,-2.2,1028.5,360.0,3.6,0.0,0.0,-6.1,-7.8,1023.9,0.0,0.0,0.0,0.0,1.0157894736842106,-5.147368421052632,1026.678947368421,71.11111111111111,2.252631578947369,0.0,0.0,19.3,-97.80000000000001,19506.899999999998,1280.0,42.80000000000001,0.0,0.0
2010-03-07,7.8,-2.2,1030.9,190.0,3.6,0.0,0.0,-5.0,-7.2,1026.8,50.0,2.1,0.0,0.0,1.3210526315789475,-4.96842105263158,1029.1526315789472,103.52941176470588,2.7842105263157904,0.0,0.0,25.1,-94.40000000000002,19553.899999999998,1760.0,52.90000000000002,0.0,0.0
2010-03-08,7.2,3.3,1025.1,180.0,6.2,8.0,1.0,-2.8,-5.6,1018.0,90.0,2.1,0.0,0.0,2.1315789473684212,-1.7526315789473683,1021.6105263157893,138.42105263157896,3.5842105263157897,5.368421052631579,0.15263157894736842,40.5,-33.3,19410.6,2630.0,68.10000000000001,102.0,2.9
2010-03-09,7.2,3.9,1020.9,360.0,4.6,9.0,0.0,-1.7,-2.2,1016.1,0.0,0.0,0.0,0.0,2.3684210526315788,1.0210526315789474,1019.0157894736842,172.77777777777777,1.7315789473684213,8.0,0.0,45.0,19.400000000000002,19361.3,3110.0,32.900000000000006,152.0,0.0
2010-03-10,13.9,7.2,1014.3,160.0,7.7,9.0,0.0,0.0,-1.1,1006.8,70.0,2.6,0.0,0.0,6.036842105263158,2.947368421052632,1010.5473684210525,113.6842105263158,4.4105263157894745,4.631578947368421,0.0,114.7,56.00000000000001,19200.399999999998,2160.0,83.80000000000001,88.0,0.0
2010-03-11,20.6,11.7,1004.2,200.0,8.8,8.0,0.8,6.7,4.4,1002.2,130.0,3.6,0.0,0.0,13.726315789473684,9.184210526315788,1002.9666666666666,167.3684210526316,6.252631578947368,5.2631578947368425,0.06842105263157895,260.8,174.49999999999997,18053.399999999998,3180.0,118.8,100.0,1.3
2010-03-12,18.0,12.2,1002.8,230.0,10.8,8.0,3.3,9.4,7.2,998.8,110.0,2.6,0.0,0.0,13.34736842105263,9.972222222222221,1000.6052631578947,153.1578947368421,6.694736842105263,4.631578947368421,0.46842105263157896,253.59999999999997,179.49999999999997,19011.5,2910.0,127.19999999999999,88.0,8.9
