Date,TMAX(C),TMIN(C),WMAX(M/s),PREC(mm}
2011-02-10,-7.222222222222222,-24.444444444444443,7.59968,0.0
2011-02-11,0.5555555555555556,-10.555555555555555,9.38784,0.0
2011-02-12,2.7777777777777777,-7.222222222222222,8.9408,0.0
2011-02-13,6.111111111111111,-0.5555555555555556,10.72896,0.0
2011-02-14,5.555555555555555,-2.2222222222222223,11.176,0.0
2011-02-15,3.888888888888889,-2.7777777777777777,7.15264,0.0
2011-02-16,12.222222222222221,2.2222222222222223,7.59968,0.0
2011-02-17,17.22222222222222,8.333333333333334,11.62304,0.0
2011-02-18,11.666666666666666,-1.1111111111111112,8.9408,0.0
2011-02-19,8.333333333333334,-2.2222222222222223,5.81152,0.0
2011-02-20,15.0,1.1111111111111112,10.72896,6.6
2011-02-21,13.333333333333334,0.5555555555555556,7.59968,13.500000000000004
2011-02-22,0.5555555555555556,-2.2222222222222223,7.15264,0.0
2011-02-23,4.444444444444445,-2.2222222222222223,7.15264,4.1
2011-02-24,3.888888888888889,0.0,12.51712,0.0
2011-02-25,1.6666666666666667,-1.1111111111111112,12.96416,2.4
2011-02-26,2.7777777777777777,-0.5555555555555556,4.4704,0.0
2011-02-27,12.777777777777779,1.6666666666666667,10.28192,0.8
2011-02-28,3.888888888888889,-2.7777777777777777,11.62304,6.0
2011-03-01,7.777777777777778,-3.888888888888889,8.04672,0.0
